# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.23        8232990.55
2                      16.31        8155578.88
4                      32.34        8085666.63
8                      65.78        8222962.55
16                    130.17        8135401.56
32                    263.17        8224083.66
64                    519.05        8110204.50
128                  1015.22        7931394.43
256                  1813.59        7084345.67
512                  3050.39        5957800.16
1024                 5757.60        5622655.01
2048                 9559.28        4667617.84
4096                 8380.75        2046081.99
8192                13515.72        1649867.75
16384               21716.28        1325456.28
32768               28343.72         864981.78
65536               31521.61         480981.57
131072              33944.26         258974.13
262144              35655.01         136013.06
524288              36587.27          69784.69
1048576             36942.30          35230.93
2097152             35271.29          16818.66
4194304             35053.02           8357.29
