# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.48
2                      10.96
4                      22.49
8                      44.90
16                     90.37
32                    180.50
64                    355.20
128                   695.68
256                  1410.89
512                  1404.83
1024                 2581.75
2048                 4245.43
4096                 3743.58
8192                 6265.36
16384                9974.19
32768               12878.17
65536               14899.82
131072              17772.69
262144              22579.18
524288              25345.13
1048576             26083.39
2097152             26996.53
4194304             27332.48
