# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.31
4                       0.30
8                       0.30
16                      0.30
32                      0.32
64                      0.30
128                     0.33
256                     0.30
512                     0.42
1024                    0.41
2048                    0.47
4096                    1.42
8192                    1.65
16384                   2.23
32768                   3.35
65536                   5.69
131072                  9.11
262144                 17.59
524288                 33.93
1048576                67.81
2097152               142.03
4194304               356.76
