# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.51
2                      11.02
4                      22.14
8                      44.32
16                     88.52
32                    178.28
64                    349.51
128                   681.66
256                  1382.13
512                  1354.54
1024                 2521.57
2048                 4187.43
4096                 3742.44
8192                 6308.62
16384               10006.13
32768               12783.36
65536               14738.84
131072              17678.18
262144              22581.62
524288              25134.92
1048576             26004.76
2097152             26883.11
4194304             27226.24
