# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       9.01
2                      17.99
4                      35.47
8                      71.39
16                    141.94
32                    283.26
64                    566.95
128                  1036.36
256                  2008.88
512                  3099.46
1024                 5698.36
2048                 9226.14
4096                 8476.68
8192                13591.33
16384               22011.40
32768               28369.38
65536               31999.41
131072              33355.90
262144              34267.74
524288              34896.20
1048576             35272.44
2097152             35339.86
4194304             35158.88
