# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.65        4646097.67
2                       9.34        4670397.97
4                      18.88        4720159.45
8                      37.68        4709889.22
16                     76.85        4803315.85
32                    152.10        4753076.91
64                    292.35        4567892.04
128                   553.71        4325891.88
256                  1092.39        4267131.22
512                  1346.96        2630771.76
1024                 2511.86        2452990.36
2048                 4171.31        2036771.43
4096                 3764.33         919026.35
8192                 6304.32         769570.54
16384               10028.13         612068.70
32768               12912.40         394055.26
65536               14888.70         227183.55
131072              17717.14         135171.02
262144              21828.55          83269.29
524288              24320.59          46387.85
1048576             26129.68          24919.21
2097152             27034.01          12890.82
4194304             27313.00           6511.93
