# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.57
2                      11.25
4                      22.63
8                      45.29
16                     90.52
32                    179.41
64                    354.88
128                   695.82
256                  1411.15
512                  1392.54
1024                 2551.81
2048                 4277.45
4096                 3780.70
8192                 6302.51
16384               10067.41
32768               12892.96
65536               14908.26
131072              17795.31
262144              21806.00
524288              24366.50
1048576             26124.13
2097152             26963.43
4194304             27275.02
