# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.60        4601814.68
2                       9.24        4620369.17
4                      18.67        4666832.29
8                      37.37        4671278.48
16                     76.35        4771926.52
32                    151.39        4730895.57
64                    293.13        4580126.23
128                   555.18        4337357.20
256                  1087.55        4248240.63
512                  1335.96        2609306.07
1024                 2502.36        2443710.56
2048                 4146.04        2024432.18
4096                 3764.87         919158.91
8192                 6311.61         770460.48
16384               10056.89         613823.89
32768               12869.73         392753.06
65536               14879.94         227049.80
131072              17774.66         135609.86
262144              22573.09          86109.51
524288              25321.86          48297.62
1048576             26155.98          24944.29
2097152             26985.51          12867.69
4194304             27308.10           6510.76
