# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.82
2                      17.39
4                      35.11
8                      68.79
16                    140.73
32                    282.21
64                    566.50
128                  1042.77
256                  1990.71
512                  3084.11
1024                 5632.45
2048                 9245.84
4096                 8478.76
8192                13529.83
16384               21820.70
32768               28423.06
65536               31791.88
131072              33784.93
262144              34190.15
524288              36162.22
1048576             36882.13
2097152             35416.91
4194304             35074.78
