# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.64        4640707.37
2                       9.37        4684016.61
4                      18.86        4714161.95
8                      37.60        4700562.77
16                     76.49        4780717.45
32                    152.14        4754475.19
64                    295.75        4621032.05
128                   556.82        4350155.43
256                  1093.27        4270568.54
512                  1338.06        2613406.74
1024                 2477.88        2419805.38
2048                 4141.63        2022282.07
4096                 3763.23         918758.01
8192                 6307.97         770015.37
16384               10081.42         615320.81
32768               12895.78         393548.11
65536               14883.57         227105.21
131072              17762.31         135515.64
262144              21746.65          82956.89
524288              24408.19          46554.93
1048576             27252.25          25989.77
2097152             27046.73          12896.89
4194304             27384.63           6529.01
