# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.64
2                       5.41
4                      10.83
8                      21.49
16                     43.22
32                     86.41
64                    173.20
128                   328.68
256                   600.84
512                  1043.95
1024                 1891.28
2048                 3391.25
4096                 3011.82
8192                 4747.68
16384                7489.26
32768                9470.58
65536               10668.50
131072              10732.32
262144              10864.40
524288              10897.16
1048576             10882.56
2097152             10941.62
4194304             10915.01
