# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.62
4                       0.62
8                       0.62
16                      0.62
32                      0.73
64                      0.61
128                     0.67
256                     0.75
512                     0.84
1024                    0.92
2048                    1.03
4096                    1.91
8192                    2.70
16384                   4.16
32768                   6.44
65536                   9.41
131072                 15.16
262144                 27.99
524288                 53.25
1048576               110.00
2097152               225.49
4194304               448.81
