# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.78
2                       0.76
4                       0.87
8                       0.65
16                      0.63
32                      0.64
64                      0.65
128                     0.71
256                     0.71
512                     0.82
1024                    0.91
2048                    1.05
4096                    1.99
8192                    2.87
16384                   4.43
32768                   6.56
65536                   9.52
131072                 15.26
262144                 27.30
524288                 51.87
1048576               110.22
2097152               226.44
4194304               453.16
