# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.25
2                       4.62
4                       9.16
8                      18.21
16                     36.06
32                     70.52
64                    135.12
128                   270.41
256                   540.16
512                   897.92
1024                 1722.24
2048                 3105.23
4096                 2736.65
8192                 4401.17
16384                6809.92
32768                9005.79
65536               10158.77
131072              10456.38
262144              10652.97
524288              10776.66
1048576             10834.73
2097152             10918.07
4194304             10930.10
