# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.95        1946644.07
2                       3.97        1985563.65
4                       7.92        1979127.32
8                      15.89        1986278.29
16                     31.49        1968037.71
32                     62.71        1959756.76
64                    123.21        1925098.10
128                   233.04        1820640.30
256                   464.72        1815315.53
512                   897.63        1753192.71
1024                 1695.52        1655784.15
2048                 3078.92        1503379.77
4096                 2750.45         671496.81
8192                 4391.13         536027.07
16384                6687.23         408156.07
32768                8939.49         272811.61
65536               10164.72         155101.24
131072              10428.55          79563.50
262144              10623.13          40524.04
524288              10742.98          20490.61
1048576             10842.09          10339.82
2097152             10919.87           5207.00
4194304             10964.21           2614.07
