# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.28
2                       4.60
4                       9.06
8                      18.12
16                     35.78
32                     70.12
64                    134.66
128                   268.38
256                   532.90
512                   922.11
1024                 1724.94
2048                 3108.79
4096                 2674.54
8192                 4058.59
16384                6816.53
32768                8874.39
65536               10149.17
131072              10453.33
262144              10651.40
524288              10803.84
1048576             10894.06
2097152             10981.91
4194304             10978.26
