# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.75
2                       0.72
4                       0.70
8                       0.71
16                      0.70
32                      0.71
64                      0.69
128                     0.80
256                     0.85
512                     0.99
1024                    1.05
2048                    1.23
4096                    2.15
8192                    3.00
16384                   4.38
32768                   6.58
65536                   9.67
131072                 15.54
262144                 27.82
524288                 52.96
1048576               111.90
2097152               227.91
4194304               455.38
