# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.35        2354059.70
2                       5.00        2502384.89
4                       9.99        2496850.94
8                      20.03        2503397.29
16                     39.80        2487766.22
32                     80.37        2511577.69
64                    160.68        2510590.28
128                   302.47        2363061.94
256                   570.70        2229310.58
512                  1031.25        2014162.90
1024                 1888.08        1843825.24
2048                 3365.72        1643416.69
4096                 3063.39         747897.30
8192                 4862.82         593605.84
16384                7299.24         445510.03
32768                9301.38         283855.64
65536               10608.82         161877.72
131072              10701.70          81647.52
262144              10839.59          41349.77
524288              10918.20          20824.81
1048576             10949.63          10442.38
2097152             10980.06           5235.70
4194304             10984.63           2618.94
