# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.65
2                       0.66
4                       0.66
8                       0.66
16                      0.70
32                      0.72
64                      0.64
128                     0.73
256                     0.80
512                     0.93
1024                    1.00
2048                    1.16
4096                    2.07
8192                    2.90
16384                   4.32
32768                   6.51
65536                   9.52
131072                 15.74
262144                 27.68
524288                 52.48
1048576               111.21
2097152               227.66
4194304               455.83
