# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.14
2                       4.51
4                       8.85
8                      17.68
16                     35.20
32                     69.23
64                    132.27
128                   261.61
256                   532.48
512                   937.06
1024                 1740.62
2048                 3205.31
4096                 2691.78
8192                 4309.34
16384                6801.18
32768                9003.60
65536               10153.12
131072              10483.02
262144              10623.82
524288              10754.22
1048576             10804.49
2097152             10852.39
4194304             10849.57
