# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.79
2                       0.78
4                       0.67
8                       0.67
16                      0.70
32                      0.68
64                      0.66
128                     0.82
256                     0.75
512                     0.93
1024                    1.03
2048                    1.16
4096                    2.09
8192                    2.93
16384                   4.39
32768                   6.48
65536                   9.41
131072                 15.52
262144                 27.49
524288                 52.19
1048576               112.37
2097152               231.61
4194304               462.06
