# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.61
2                       5.42
4                      10.75
8                      21.47
16                     43.07
32                     86.27
64                    173.06
128                   326.80
256                   603.49
512                  1066.55
1024                 1946.38
2048                 3434.86
4096                 2956.69
8192                 4838.57
16384                7492.16
32768                9468.67
65536               10689.94
131072              10756.45
262144              10889.61
524288              10964.61
1048576             10978.64
2097152             11027.87
4194304             11031.64
