# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.28
2                       4.60
4                       9.09
8                      18.27
16                     35.98
32                     70.74
64                    135.54
128                   270.27
256                   536.11
512                   904.35
1024                 1659.17
2048                 3189.62
4096                 2772.21
8192                 4392.16
16384                6868.15
32768                9019.61
65536               10138.65
131072              10523.29
262144              10694.51
524288              10855.95
1048576             10878.39
2097152             10916.48
4194304             10915.25
