# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.53        2526578.42
2                       5.14        2570224.15
4                      10.25        2561635.45
8                      20.36        2544734.34
16                     40.70        2543757.30
32                     80.94        2529260.28
64                    163.95        2561782.49
128                   308.04        2406597.60
256                   574.61        2244559.56
512                  1018.67        1989582.42
1024                 1836.40        1793360.29
2048                 3116.41        1521684.46
4096                 2863.86         699185.32
8192                 4879.17         595601.87
16384                7362.73         449385.31
32768                9446.96         288298.46
65536               10673.73         162868.21
131072              10754.30          82048.79
262144              10876.30          41489.79
524288              10972.02          20927.47
1048576             11005.72          10495.87
2097152             11003.94           5247.09
4194304             11011.05           2625.24
