# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.49
2                       5.45
4                      10.93
8                      21.62
16                     42.81
32                     87.30
64                    175.10
128                   328.81
256                   602.55
512                  1039.52
1024                 1877.20
2048                 3364.71
4096                 2983.38
8192                 4812.24
16384                7468.74
32768                9429.36
65536               10663.99
131072              10719.39
262144              10847.33
524288              10876.78
1048576             10902.04
2097152             10968.88
4194304             10973.39
