# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.43
2                       5.39
4                      10.72
8                      21.36
16                     43.18
32                     86.73
64                    173.37
128                   326.77
256                   605.37
512                  1037.23
1024                 1878.95
2048                 3350.46
4096                 2988.11
8192                 4817.29
16384                7383.06
32768                9440.34
65536               10656.36
131072              10712.99
262144              10862.81
524288              10938.72
1048576             10952.10
2097152             10960.41
4194304             10991.52
