# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.70
2                       5.47
4                      10.88
8                      21.68
16                     43.44
32                     86.68
64                    173.87
128                   329.48
256                   594.86
512                   993.84
1024                 1793.31
2048                 3110.75
4096                 2818.15
8192                 4678.89
16384                7512.87
32768                9490.61
65536               10700.58
131072              10769.93
262144              10871.19
524288              10972.69
1048576             10971.30
2097152             11020.47
4194304             11005.22
