# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.27
2                       4.63
4                       9.21
8                      18.30
16                     36.27
32                     71.41
64                    136.40
128                   270.56
256                   540.27
512                   935.71
1024                 1784.97
2048                 3225.55
4096                 2773.46
8192                 4443.40
16384                6948.48
32768                9095.11
65536               10240.40
131072              10550.21
262144              10723.58
524288              10835.97
1048576             10884.18
2097152             10984.95
4194304             10957.79
