# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.60
4                       0.59
8                       0.59
16                      0.60
32                      0.59
64                      0.59
128                     0.65
256                     0.72
512                     0.80
1024                    0.87
2048                    1.00
4096                    1.93
8192                    2.80
16384                   4.24
32768                   6.58
65536                   9.48
131072                 15.23
262144                 27.34
524288                 54.63
1048576               110.43
2097152               226.16
4194304               449.93
