# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.35
2                       4.73
4                       9.35
8                      18.66
16                     37.04
32                     72.72
64                    138.91
128                   277.07
256                   551.62
512                   945.87
1024                 1783.38
2048                 3281.08
4096                 2817.33
8192                 4498.71
16384                6973.26
32768                9095.86
65536               10249.51
131072              10513.09
262144              10690.70
524288              10833.82
1048576             10875.10
2097152             10930.49
4194304             10952.08
