# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.46        2464529.36
2                       5.10        2548076.12
4                      10.10        2525875.02
8                      20.18        2522960.02
16                     40.35        2522115.11
32                     80.84        2526328.09
64                    161.41        2522108.94
128                   312.85        2444178.50
256                   578.00        2257805.15
512                  1036.97        2025334.15
1024                 1885.94        1841734.36
2048                 3358.37        1639830.29
4096                 3130.80         764354.66
8192                 5004.82         610939.95
16384                7467.41         455774.75
32768                9525.73         290702.10
65536               10740.75         163890.81
131072              10806.70          82448.56
262144              10959.30          41806.42
524288              11038.26          21053.82
1048576             11068.94          10556.17
2097152             11070.48           5278.82
4194304             11061.62           2637.30
