# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.28
2                       4.64
4                       9.13
8                      18.30
16                     36.14
32                     70.83
64                    135.43
128                   268.65
256                   537.51
512                   926.68
1024                 1753.33
2048                 3225.61
4096                 2753.63
8192                 4410.11
16384                6848.09
32768                9011.24
65536               10209.33
131072              10513.17
262144              10683.86
524288              10853.35
1048576             10887.57
2097152             10945.58
4194304             10976.67
