# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.77
2                       0.73
4                       0.72
8                       0.74
16                      0.72
32                      0.72
64                      0.71
128                     0.81
256                     0.83
512                     0.98
1024                    1.05
2048                    1.21
4096                    2.21
8192                    3.02
16384                   4.44
32768                   6.56
65536                   9.67
131072                 16.10
262144                 27.95
524288                 52.79
1048576               111.28
2097152               230.45
4194304               459.93
