# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.64
2                       0.64
4                       0.64
8                       0.63
16                      0.64
32                      0.63
64                      0.65
128                     0.68
256                     0.72
512                     0.83
1024                    0.90
2048                    1.14
4096                    1.97
8192                    2.79
16384                   4.27
32768                   6.57
65536                   9.46
131072                 15.24
262144                 27.54
524288                 54.39
1048576               109.95
2097152               226.41
4194304               450.40
