# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.51
2                       5.43
4                      10.81
8                      21.53
16                     43.14
32                     86.03
64                    171.04
128                   325.44
256                   599.06
512                  1013.91
1024                 1816.59
2048                 3212.10
4096                 2913.80
8192                 4730.82
16384                7362.45
32768                9382.39
65536               10596.21
131072              10675.67
262144              10798.28
524288              10867.38
1048576             10891.12
2097152             10931.06
4194304             10934.85
