# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.70
4                       0.68
8                       0.71
16                      0.67
32                      0.68
64                      0.64
128                     0.74
256                     0.80
512                     0.94
1024                    1.02
2048                    1.18
4096                    2.08
8192                    2.84
16384                   4.31
32768                   6.46
65536                   9.51
131072                 15.72
262144                 27.72
524288                 52.35
1048576               111.17
2097152               227.39
4194304               455.30
