# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.66
2                       0.66
4                       0.66
8                       0.67
16                      0.66
32                      0.78
64                      0.66
128                     0.69
256                     0.72
512                     0.80
1024                    0.86
2048                    0.99
4096                    1.97
8192                    2.75
16384                   4.22
32768                   6.49
65536                   9.47
131072                 15.30
262144                 27.66
524288                 52.32
1048576               109.47
2097152               226.31
4194304               451.41
