# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.76
2                       0.74
4                       0.75
8                       0.63
16                      0.62
32                      0.62
64                      0.63
128                     0.67
256                     0.71
512                     0.95
1024                    0.89
2048                    1.02
4096                    2.00
8192                    2.83
16384                   4.35
32768                   6.77
65536                   9.47
131072                 15.50
262144                 27.40
524288                 52.15
1048576               110.55
2097152               226.92
4194304               449.62
