# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.95
2                       0.95
4                       0.90
8                       0.67
16                      0.67
32                      0.62
64                      0.63
128                     0.69
256                     0.73
512                     0.80
1024                    0.85
2048                    1.01
4096                    1.99
8192                    2.89
16384                   4.30
32768                   6.48
65536                   9.37
131072                 15.21
262144                 27.07
524288                 51.28
1048576               109.36
2097152               226.30
4194304               449.11
