# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.71
2                       0.73
4                       0.65
8                       0.67
16                      0.69
32                      0.72
64                      0.69
128                     0.81
256                     0.76
512                     0.93
1024                    1.01
2048                    1.11
4096                    2.10
8192                    2.92
16384                   4.32
32768                   6.50
65536                   9.59
131072                 15.65
262144                 27.55
524288                 54.61
1048576               111.26
2097152               227.95
4194304               455.05
