# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.95        1949683.01
2                       3.93        1963232.10
4                       7.89        1972703.82
8                      15.76        1969423.29
16                     31.37        1960806.54
32                     62.21        1944172.36
64                    121.65        1900858.64
128                   231.64        1809708.68
256                   456.82        1784468.49
512                   890.39        1739041.36
1024                 1693.32        1653637.55
2048                 3071.19        1499605.67
4096                 2680.61         654444.72
8192                 4337.90         529529.06
16384                6570.06         401004.48
32768                8393.75         256156.94
65536                9908.49         151191.54
131072              10355.57          79006.73
262144              10585.04          40378.73
524288              10733.70          20472.90
1048576             10798.23          10297.99
2097152             10854.77           5175.96
4194304             10884.43           2595.05
