# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.45
2                       5.35
4                      10.55
8                      21.18
16                     42.36
32                     85.15
64                    170.76
128                   322.02
256                   599.66
512                  1007.59
1024                 1823.12
2048                 3264.21
4096                 2952.91
8192                 4734.44
16384                7382.15
32768                9367.93
65536               10547.00
131072              10659.18
262144              10808.63
524288              10851.84
1048576             10870.73
2097152             10903.45
4194304             10921.44
