# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.71
2                       0.62
4                       0.61
8                       0.61
16                      0.62
32                      0.61
64                      0.61
128                     0.67
256                     0.70
512                     0.79
1024                    0.83
2048                    0.99
4096                    1.96
8192                    2.86
16384                   4.32
32768                   6.59
65536                   9.53
131072                 15.28
262144                 27.35
524288                 52.61
1048576               110.96
2097152               227.25
4194304               449.78
