# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.65
2                       5.39
4                      10.73
8                      21.42
16                     43.13
32                     85.87
64                    172.08
128                   326.35
256                   597.54
512                  1004.86
1024                 1834.09
2048                 3107.98
4096                 2885.61
8192                 4512.70
16384                7420.96
32768                9311.75
65536               10669.05
131072              10738.68
262144              10887.85
524288              10960.83
1048576             10995.47
2097152             11026.81
4194304             11024.88
