# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.66
2                       5.43
4                      10.79
8                      21.57
16                     43.38
32                     86.72
64                    173.20
128                   326.12
256                   602.79
512                  1044.28
1024                 1886.59
2048                 3298.26
4096                 2873.39
8192                 4682.52
16384                7445.75
32768                9442.93
65536               10666.85
131072              10720.33
262144              10862.91
524288              10938.86
1048576             10970.91
2097152             11034.32
4194304             11027.45
