# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.27
2                       4.56
4                       9.00
8                      18.06
16                     35.78
32                     70.13
64                    134.29
128                   268.02
256                   535.39
512                   927.45
1024                 1723.40
2048                 3106.29
4096                 2681.83
8192                 4270.26
16384                6931.90
32768                9089.60
65536               10182.26
131072              10526.03
262144              10713.04
524288              10868.23
1048576             10908.96
2097152             10966.09
4194304             11016.01
