# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.23
2                       4.57
4                       8.98
8                      18.03
16                     35.67
32                     69.96
64                    134.20
128                   268.77
256                   532.49
512                   933.97
1024                 1777.51
2048                 3219.26
4096                 2684.81
8192                 4426.40
16384                6916.11
32768                9028.24
65536               10182.61
131072              10514.99
262144              10709.33
524288              10819.72
1048576             10846.07
2097152             10900.16
4194304             10925.74
