# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.32
2                       4.65
4                       9.19
8                      18.49
16                     36.78
32                     72.36
64                    137.90
128                   274.95
256                   547.78
512                   930.38
1024                 1739.32
2048                 3232.22
4096                 2735.53
8192                 4394.88
16384                6843.75
32768                9017.02
65536               10135.77
131072              10473.47
262144              10699.35
524288              10860.01
1048576             10905.40
2097152             10977.32
4194304             11001.15
