# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.78
2                       0.79
4                       0.79
8                       0.79
16                      0.79
32                      0.79
64                      0.79
128                     0.80
256                     0.86
512                     1.00
1024                    1.17
2048                    1.28
4096                    2.63
8192                    3.62
16384                   5.46
32768                   8.27
65536                  10.78
131072                 16.07
262144                 27.51
524288                 53.67
1048576               110.47
2097152               228.48
4194304               453.76
