# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.48
2                       5.42
4                      11.00
8                      21.81
16                     43.60
32                     87.68
64                    174.72
128                   334.10
256                   605.69
512                  1058.97
1024                 1902.44
2048                 3415.12
4096                 3139.00
8192                 4851.53
16384                7545.32
32768                9505.17
65536               10704.83
131072              10783.96
262144              10959.67
524288              11042.68
1048576             11060.80
2097152             11047.86
4194304             11038.62
