# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.70
2                       0.69
4                       0.80
8                       0.81
16                      0.78
32                      0.68
64                      0.67
128                     0.82
256                     0.72
512                     0.95
1024                    1.00
2048                    1.17
4096                    2.13
8192                    3.00
16384                   4.42
32768                   6.52
65536                   9.56
131072                 15.57
262144                 27.71
524288                 52.51
1048576               112.15
2097152               228.24
4194304               458.85
