# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.43        2425650.13
2                       5.01        2504103.80
4                       9.94        2484641.90
8                      19.83        2479371.05
16                     39.86        2491344.52
32                     79.61        2487945.71
64                    158.50        2476503.40
128                   300.67        2349019.35
256                   572.41        2235971.19
512                  1025.65        2003220.49
1024                 1850.11        1806747.88
2048                 3333.02        1627453.22
4096                 2939.76         717713.87
8192                 4780.72         583584.20
16384                7391.00         451110.94
32768                9388.89         286526.30
65536               10702.56         163308.05
131072              10754.26          82048.48
262144              10841.27          41356.17
524288              10910.33          20809.81
1048576             10929.09          10422.79
2097152             10958.52           5225.43
4194304             10984.11           2618.82
