# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.44        2443186.47
2                       4.99        2492845.82
4                       9.94        2485917.95
8                      19.86        2482320.16
16                     39.53        2470448.61
32                     79.31        2478287.11
64                    156.99        2453024.02
128                   299.67        2341186.53
256                   565.32        2208269.33
512                  1014.88        1982189.35
1024                 1831.68        1788750.17
2048                 3146.48        1536369.23
4096                 2893.46         706410.61
8192                 4687.31         572181.58
16384                7144.81         436084.69
32768                9171.06         279878.59
65536               10521.38         160543.49
131072              10654.35          81286.26
262144              10804.46          41215.74
524288              10885.31          20762.08
1048576             10919.41          10413.57
2097152             10970.91           5231.34
4194304             10981.81           2618.27
