# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.45
2                       5.38
4                      10.71
8                      21.48
16                     43.20
32                     86.28
64                    173.22
128                   325.13
256                   596.66
512                  1010.21
1024                 1836.40
2048                 3284.59
4096                 3024.83
8192                 4765.71
16384                7372.66
32768                9438.98
65536               10656.88
131072              10743.69
262144              10893.47
524288              10908.99
1048576             10916.34
2097152             10965.38
4194304             10994.06
