# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.64
2                       5.40
4                      10.59
8                      21.36
16                     43.18
32                     86.37
64                    173.60
128                   324.00
256                   602.68
512                  1034.12
1024                 1870.75
2048                 3316.52
4096                 2959.77
8192                 4838.76
16384                7500.29
32768                9438.89
65536               10630.37
131072              10714.85
262144              10858.03
524288              10923.76
1048576             10953.50
2097152             10990.05
4194304             11007.06
