# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.25
2                       4.57
4                       9.06
8                      18.07
16                     36.10
32                     70.30
64                    135.22
128                   269.89
256                   536.71
512                   914.76
1024                 1716.86
2048                 3147.21
4096                 2732.16
8192                 4383.80
16384                6842.04
32768                9007.36
65536               10065.37
131072              10491.55
262144              10679.22
524288              10801.51
1048576             10837.58
2097152             10905.21
4194304             10926.18
