# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.37        2374392.59
2                       5.09        2544362.15
4                      10.10        2525775.74
8                      19.39        2423468.75
16                     40.11        2506938.83
32                     80.25        2507862.84
64                    160.74        2511617.51
128                   304.29        2377250.04
256                   577.29        2255052.34
512                   997.88        1948986.97
1024                 1845.20        1801950.80
2048                 3343.08        1632364.57
4096                 2994.17         730999.63
8192                 4834.39         590135.18
16384                7193.77         439072.83
32768                9331.18         284765.15
65536               10551.62         161004.98
131072              10654.89          81290.36
262144              10798.63          41193.49
524288              10861.71          20717.08
1048576             10907.16          10401.87
2097152             10919.20           5206.68
4194304             10884.83           2595.15
