# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.72
2                       0.64
4                       0.66
8                       0.65
16                      0.66
32                      0.64
64                      0.66
128                     0.68
256                     0.73
512                     0.84
1024                    0.93
2048                    1.04
4096                    2.10
8192                    2.74
16384                   4.24
32768                   6.51
65536                   9.43
131072                 15.27
262144                 27.25
524288                 51.71
1048576               109.56
2097152               225.35
4194304               451.90
