# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.78
2                       0.75
4                       0.75
8                       0.64
16                      0.61
32                      0.62
64                      0.62
128                     0.67
256                     0.70
512                     0.80
1024                    0.84
2048                    0.98
4096                    1.95
8192                    2.73
16384                   4.21
32768                   6.51
65536                   9.32
131072                 15.26
262144                 27.00
524288                 51.09
1048576               109.37
2097152               225.81
4194304               447.15
