# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.24
2                       4.58
4                       9.07
8                      18.19
16                     35.64
32                     69.45
64                    133.73
128                   269.74
256                   538.61
512                   927.14
1024                 1742.05
2048                 3200.01
4096                 2730.64
8192                 4372.92
16384                6883.33
32768                9026.85
65536               10202.76
131072              10509.63
262144              10668.98
524288              10836.54
1048576             10861.57
2097152             10920.49
4194304             10903.86
