# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.63
4                       0.63
8                       0.63
16                      0.64
32                      0.62
64                      0.62
128                     0.66
256                     0.69
512                     0.78
1024                    0.84
2048                    0.99
4096                    2.00
8192                    2.84
16384                   4.32
32768                   6.64
65536                   9.63
131072                 15.39
262144                 27.45
524288                 52.56
1048576               110.56
2097152               228.53
4194304               453.10
