# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.66
4                       0.66
8                       0.66
16                      0.65
32                      0.67
64                      0.70
128                     0.81
256                     0.75
512                     0.93
1024                    1.03
2048                    1.13
4096                    2.09
8192                    2.94
16384                   4.37
32768                   6.48
65536                   9.39
131072                 15.70
262144                 27.60
524288                 52.26
1048576               111.51
2097152               227.13
4194304               457.02
