# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.70
2                       0.66
4                       0.65
8                       0.66
16                      0.64
32                      0.66
64                      0.65
128                     0.79
256                     0.74
512                     0.93
1024                    1.02
2048                    1.14
4096                    2.10
8192                    2.95
16384                   4.39
32768                   6.57
65536                   9.51
131072                 15.95
262144                 27.53
524288                 52.46
1048576               110.91
2097152               227.46
4194304               460.35
