# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.23
2                       4.57
4                       9.01
8                      18.02
16                     35.64
32                     70.07
64                    134.21
128                   267.75
256                   533.54
512                   932.35
1024                 1749.20
2048                 3251.74
4096                 2743.39
8192                 4456.68
16384                6973.86
32768                9085.35
65536               10211.14
131072              10548.43
262144              10669.57
524288              10807.38
1048576             10864.50
2097152             10937.68
4194304             10972.24
